ts	unit	archived_from	commit_sha	source_files	note
2026-07-14T02:40:16Z	fix-10	reports/build_fix-10_r1.md	645e081	build_fix-10_r1.md	auto-prune
2026-07-14T02:40:16Z	fix-10	reports/qa_fix-10_r1.md	645e081	qa_fix-10_r1.md	auto-prune
2026-07-14T02:40:16Z	fix-11	reports/build_fix-11_r1.md	972dabd	build_fix-11_r1.md	auto-prune
2026-07-14T02:40:16Z	fix-11	reports/qa_fix-11_r1.md	972dabd	qa_fix-11_r1.md	auto-prune
2026-07-14T02:40:16Z	fix-4	reports/build_fix-4_r1.md	b367998	build_fix-4_r1.md	auto-prune
2026-07-14T02:40:16Z	fix-4	reports/qa_fix-4_r1.md	b367998	qa_fix-4_r1.md	auto-prune
2026-07-14T02:40:16Z	fix-5	reports/build_fix-5_r1.md	fa08b9d	build_fix-5_r1.md	auto-prune
2026-07-14T02:40:16Z	fix-5	reports/qa_fix-5_r1.md	fa08b9d	qa_fix-5_r1.md	auto-prune
2026-07-14T02:40:16Z	fix-6	reports/build_fix-6_r1.md	c47eab8	build_fix-6_r1.md	auto-prune
2026-07-14T02:40:16Z	fix-6	reports/build_fix-6_r2.md	c47eab8	build_fix-6_r2.md	auto-prune
2026-07-14T02:40:16Z	fix-6	reports/qa_fix-6_r1.md	c47eab8	qa_fix-6_r1.md	auto-prune
2026-07-14T02:40:16Z	fix-6	reports/qa_fix-6_r2.md	c47eab8	qa_fix-6_r2.md	auto-prune
2026-07-14T02:40:16Z	fix-7	reports/build_fix-7_r1.md	d251a1e	build_fix-7_r1.md	auto-prune
2026-07-14T02:40:16Z	fix-7	reports/qa_fix-7_r1.md	d251a1e	qa_fix-7_r1.md	auto-prune
2026-07-14T02:40:16Z	fix-9	reports/build_fix-9_r1.md	d8ff071	build_fix-9_r1.md	auto-prune
2026-07-14T02:40:16Z	fix-9	reports/qa_fix-9_r1.md	d8ff071	qa_fix-9_r1.md	auto-prune
2026-07-14T02:40:16Z	fix-M2	reports/build_fix-M2_r1.md	589ef56	build_fix-M2_r1.md	auto-prune
2026-07-14T02:40:16Z	fix-M2	reports/qa_fix-M2_r1.md	589ef56	qa_fix-M2_r1.md	auto-prune
2026-07-14T02:40:16Z	fix-M3a	reports/build_fix-M3a_r1.md	2df9d10	build_fix-M3a_r1.md	auto-prune
2026-07-14T02:40:16Z	fix-M3a	reports/qa_fix-M3a_r1.md	2df9d10	qa_fix-M3a_r1.md	auto-prune
2026-07-14T02:40:16Z	fix-M3b	reports/build_fix-M3b_r1.md	07d774f	build_fix-M3b_r1.md	auto-prune
2026-07-14T02:40:16Z	fix-M3b	reports/qa_fix-M3b_r1.md	07d774f	qa_fix-M3b_r1.md	auto-prune
2026-07-14T02:40:16Z	phase3a	reports/build_phase3a_r1.md	38a8d34	build_phase3a_r1.md	auto-prune
2026-07-14T02:40:16Z	phase3a	reports/qa_phase3a_r1.md	38a8d34	qa_phase3a_r1.md	auto-prune
